commit	compression_score	compression_ratio	val_bpb_delta	compressed_bpb	status	description
3ea7ab3	1.000000	1.0000	0.000000	1.391715	keep	identity baseline (no compression, reference)
787fff4	1.958804	1.9592	0.000038	1.504972	keep	int8 sym per-tok-per-head quant
58cebb1	3.807015	3.8400	0.003299	1.507150	keep	int4 sym per-tok-per-head quant
1d5de19	4.607514	7.3846	0.277710	1.781829	keep	int2 sym per-tok-per-head quant
8a0c1b2	3.182674	3.2000	0.001733	1.503347	discard	int4 group_size=16 (overhead beat by vanilla int4)
9b1d2c3	2.654981	2.6667	0.001169	1.514881	discard	int4 group_size=8 (overhead too high)
ac2e3d4	3.683132	3.6923	0.000918	1.714273	discard	asymmetric int4 (better quality but more overhead)
bd1e5f6	4.133966	6.0000	0.186603	2.107769	discard	random projection rank=32 (Johnson-Lindenstrauss, lossy)
e588bfb	5.942022	6.1563	0.021429	1.922298	keep	hybrid recent=64 bf16 + old INT2 quant
90aea70	0.000000	0.0000	0.000000	0.000000	marker	===== substrate change: D=6 A=64 (medium) baseline_bpb=1.093 — entries below are on this substrate =====
90aea70	-0.014182	16.0000	1.601418	2.694578	discard	sliding_window_128 [medium bpt=96.00 α20=-16.028 α50=-64.071] — pure eviction is brutal
90aea70	1.958972	1.9592	0.000021	1.093180	keep	int8_sym_per_tok_per_head [medium bpt=784.00 α20=1.958761 α50=1.958128]
90aea70	3.804338	3.8400	0.003566	1.096725	keep	int4_sym_per_tok_per_head [medium bpt=400.00 α20=3.768676 α50=3.661690]
ba2844f	15.547822	32.0000	1.645218	2.738377	discard	sliding_window_64 [medium bpt=48.00 α20=-0.904 α50=-50.261] — α10 wins on ratio alone but quality cliff
699997e	-7.077435	8.0000	1.507743	2.600902	discard	sliding_window_256 [medium bpt=192.00 α20=-22.154870 α50=-67.387174]
699997e	-9.062370	4.0000	1.306237	2.399396	discard	sliding_window_512 [medium bpt=384.00 α20=-22.124740 α50=-61.311850]
423ca02	0.219795	15.5152	1.529536	2.622695	discard	sink4_W128 [medium bpt=99.00 α20=-15.075561 α50=-60.961631]
423ca02	-6.482660	7.8769	1.435958	2.529117	discard	sink4_W256 [medium bpt=195.00 α20=-20.842243 α50=-63.920991]
423ca02	14.382807	30.1176	1.573484	2.666643	discard	sink4_W64 [medium bpt=51.00 α20=-1.352034 α50=-48.556555] — α10 false-keep, fixed by α20 gate
423ca02	-1.710306	1.9982	0.370852	1.464011	discard	topk_knorm_50pct [medium bpt=768.69 α20=-5.418823 α50=-16.544374]
423ca02	-0.076287	1.3321	0.140843	1.234002	discard	topk_knorm_75pct [medium bpt=1153.03 α20=-1.484715 α50=-5.709998]
423ca02	-3.648673	3.9964	0.764510	1.857669	discard	topk_knorm_25pct [medium bpt=384.34 α20=-11.293768 α50=-34.229055]
423ca02	-3.476517	12.0000	1.547652	2.640811	discard	svd_r32 [medium bpt=128.00 α20=-18.953035 α50=-65.382586]
423ca02	7.910037	24.0000	1.608996	2.702155	discard	svd_r16 [medium bpt=64.00 α20=-8.179925 α50=-56.449813]
423ca02	31.709337	48.0000	1.629066	2.722225	discard	svd_r8 [medium bpt=32.00 α20=15.418675 α50=-33.453314] — α10 false-keep, fixed by α20 gate (Δ>>0.1)
423ca02	-1.158702	1.3333	0.249204	1.342363	discard	headprune_1of4 [medium bpt=1152.00 α20=-3.650737 α50=-11.126842]
423ca02	-3.977053	2.0000	0.597705	1.690864	discard	headprune_2of4 [medium bpt=768.00 α20=-9.954105 α50=-27.885263]
ac0557e	2.902247	7.3846	0.448237	1.541396	discard	int2_sym_per_tok_per_head [medium bpt=208.00 α20=-1.580122 α50=-15.027229]
ac0557e	1.777793	6.1563	0.437852	1.531011	discard	hybrid_recent64_int2_old [medium bpt=249.50 α20=-2.600727 α50=-15.736287]
ac0557e	3.491913	3.5270	0.003507	1.096666	discard	hybrid_recent64_int4_old [medium bpt=435.50 α20=3.456846 α50=3.351645]
ac0557e	1.023957	5.2784	0.425439	1.518598	discard	hybrid_recent128_int2_old [medium bpt=291.00 α20=-3.230437 α50=-15.993618]
ac0557e	15.640061	30.7200	1.507994	2.601153	discard	stack_sliding_window_256+int4_sym_per_tok_per_head [medium bpt=50.00 α20=0.560123 α50=-44.679693]
ac0557e	15.892512	30.2474	1.435487	2.528646	discard	stack_sink4_W256+int4_sym_per_tok_per_head [medium bpt=50.78 α20=1.537639 α50=-41.526978]
ac0557e	2.586808	5.1200	0.253319	1.346478	discard	stack_headprune_1of4+int4_sym_per_tok_per_head [medium bpt=300.00 α20=0.053616 α50=-7.545959]
PENDING	0.000000	0.0000	0.000000	0.000000	marker	===== substrate change: D=3 A=40 (small) — entries below are on this substrate =====
376598d	3.763710	3.8400	0.007629	1.191244	keep	int4_sym_per_tok_per_head [small bpt=200.00 α20=3.687420 α50=3.458551]
376598d	1.958558	1.9592	0.000063	1.183677	discard	int8_sym_per_tok_per_head [small bpt=392.00 α20=1.957932 α50=1.956055]
376598d	1.517056	7.3846	0.586756	1.770371	discard	int2_sym_per_tok_per_head [small bpt=104.00 α20=-4.350503 α50=-21.953181]
376598d	3.161697	3.2000	0.003830	1.187445	discard	int4_group16 [small bpt=240.00 α20=3.123394 α50=3.008485]
376598d	3.642463	3.6923	0.004984	1.188599	discard	int4_asym_per_tok_per_head [small bpt=208.00 α20=3.592618 α50=3.443083]
376598d	0.412321	6.1563	0.574399	1.758014	discard	hybrid_recent64_int2_old [small bpt=124.75 α20=-5.331671 α50=-22.563646]
376598d	-4.374422	16.0000	2.037442	3.221057	discard	sliding_window_128 [small bpt=48.00 α20=-24.748844 α50=-85.872109]
PENDING	0.000000	0.0000	0.000000	0.000000	marker	===== substrate change: D=10 A=80 (large) — entries below are on this substrate =====
376598d	0.000000	0.0000	0.000000	0.000000	crash	int4 [large]
376598d	3.821816	3.8400	0.001818	1.143504	keep	int4_sym_per_tok_per_head [large bpt=900.00 α20=3.803633 α50=3.749082]
376598d	1.959008	1.9592	0.000018	1.141704	discard	int8_sym_per_tok_per_head [large bpt=1764.00 α20=1.958832 α50=1.958303]
376598d	5.115474	7.3846	0.226914	1.368600	discard	int2_sym_per_tok_per_head [large bpt=468.00 α20=2.846333 α50=-3.961091]
376598d	3.189568	3.2000	0.001043	1.142729	discard	int4_group16 [large bpt=1080.00 α20=3.179136 α50=3.147840]
376598d	3.679671	3.6923	0.001264	1.142950	discard	int4_asym_per_tok_per_head [large bpt=936.00 α20=3.667034 α50=3.629123]
376598d	2.659687	2.6667	0.000698	1.142384	discard	int4_group8 [large bpt=1296.00 α20=2.652706 α50=2.631766]
376598d	3.509114	3.5270	0.001787	1.143473	discard	hybrid_recent64_int4_old [large bpt=979.88 α20=3.491248 α50=3.437650]
db15bd6	2.582107	2.5946	0.001249	1.094408	discard	mixed_K8_V4 [medium bpt=592.00 α20=2.569620 α50=2.532158]
db15bd6	2.572307	2.5946	0.002229	1.095388	discard	mixed_K4_V8 [medium bpt=592.00 α20=2.550018 α50=2.483154]
